true I(max)-I(650),predicted I(max)-I(650)
0.1690999823526257,0.155556026964782
0.1555560269647819,0.15720413254456136
0.14530828273649687,0.16088545906252502
0.1680958671947655,0.14677157360932563
0.16080001906127062,0.14969815535498282
0.16360508986791217,0.15057612987867997
0.15701460971912584,0.14298276980024502
0.138750746745513,0.1374306067051039
0.13187844360996281,0.13243083746720646
0.12821756461500194,0.12937079783530622
0.12562126369032034,0.12811697494797794
0.12630589744405937,0.1243506863912081
0.12331112314647993,0.1263058974440593
