true I nm,predicted I nm
496.4341761750824,496.43417617508237
496.4341761750824,495.5108702329806
494.3823851926338,496.1264075277151
495.75024584759956,495.93832668765737
496.77614133882383,496.0751127531539
496.4341761750824,496.7333956933562
496.4341761750824,495.1689050692392
495.0663155201167,498.32353370475386
500.879723303721,497.57975947361626
499.85382781249666,498.62275322302764
497.1181065025653,502.48695957330585
504.6413401048767,502.19628918412593
504.6413401048767,504.64134010487726
