true I(650),predicted I(650)
0.023554916334785108,0.012773994905343745
0.012773994905343738,0.03868056453865729
0.05105609488728,0.040642552068431606
0.06344409883823071,0.06549016404427453
0.07511287681560427,0.08124199573575364
0.09082547868057377,0.062490275439719266
0.011999869936179222,0.03438366251842489
0.024423342019222166,0.04941947194269914
0.09515454106177902,0.07379897670370908
0.1141972232637438,0.08194058618203534
0.06998510319560068,0.10353389862830224
0.09480936029021361,0.08672302037462822
0.1034609375536559,0.0948093602902137
