true weight,predicted weight
0.1725525257662354,0.14860711436077528
0.1486071143607754,0.1777083922250836
0.18237322378308915,0.18312723673547843
0.21435972840782874,0.2047520167469543
0.21817929252527327,0.22626285645533867
0.23703235326022873,0.2045471989596614
0.1500188246972134,0.15819143221645457
0.14692844349591533,0.1794571258975383
0.21199419564526614,0.19488749760330265
0.22686020034156085,0.19432678025675992
0.18254850333108907,0.21512174166630665
0.20644548960198839,0.19641703922901058
0.21336747199313658,0.2064454896019885
