true I(max)-I(650),predicted I(max)-I(650)
0.1690999823526257,0.155556026964782
0.1555560269647819,0.1577989250349645
0.14530828273649687,0.16088545906252505
0.1680958671947655,0.15421603112324184
0.16080001906127062,0.16540140079865345
0.16360508986791217,0.16023220765994906
0.15701460971912584,0.141857539635813
0.138750746745513,0.14696014327546067
0.13187844360996281,0.13243083746720644
0.12821756461500194,0.1282805651561684
0.12562126369032034,0.1273573143880778
0.12630589744405937,0.12446619341840011
0.12331112314647993,0.1263058974440593
