true ang,predicted ang
-0.002429869473009284,-0.002155397221890092
-0.002316318730734024,-0.002173374650832818
-0.0020124118979634766,-0.0022259071176403003
-0.002325801800167829,-0.0021717354345449744
-0.0021954165597851986,-0.0021910242528624104
-0.002016557811919103,-0.002218692063187702
-0.002334336742529323,-0.0018796320912960857
-0.0019819923910661804,-0.001859910577865596
-0.0017117703784886571,-0.0018237529033741657
-0.0016774625681923911,-0.0018002583481180768
-0.0016716618674191238,-0.0018012831385880224
-0.001609288487024836,-0.001812302435791013
-0.0016325690448111881,-0.0018173105401288203
