true I(400),predicted I(400)
0.11224540700270917,0.08943839183272474
0.0894383918327247,0.1283270175641626
0.14440862812561608,0.08970790193199077
0.16645138175640495,0.09015708543076748
0.16541047459128913,0.09060626892954418
0.18830659225268914,0.09105545242832089
0.09303185982293835,0.16745597154604258
0.09819150768945581,0.1612007853340486
0.16967942943030861,0.15703066119271927
0.18242597361947216,0.15390306808672224
0.14660535083939602,0.18041654958196032
0.16464749181171245,0.17853271454679287
0.1774024135256923,0.16464749181171262
