true I nm,predicted I nm
496.4341761750824,495.75024584759956
496.4341761750824,495.75024584759956
494.3823851926338,495.75024584759956
495.75024584759956,494.45077822538224
496.77614133882383,494.5362695163176
496.4341761750824,494.62176080725294
496.4341761750824,495.01502074555555
495.0663155201167,499.10150445226554
500.879723303721,497.69944728092577
499.85382781249666,502.38437002418334
497.1181065025653,503.13669338441457
504.6413401048767,503.70093590458816
504.6413401048767,504.64134010487726
