true coef A,predicted coef A
-8.988353989861339e-05,-8.83870228213222e-05
-8.838702282132222e-05,-6.820340728664484e-05
-4.424115545236382e-05,-7.315359589887848e-05
-5.7920168976434734e-05,-5.518442420930753e-05
-6.175038546347373e-05,-4.938170585757835e-05
-4.3070667900162686e-05,-6.756203176400095e-05
-8.757992457692787e-05,-6.51702369638093e-05
-6.762574463754783e-05,-6.705695307390473e-05
-2.8942863139718873e-05,-4.675058308767596e-05
-3.2833808721094705e-05,-2.6549979221891035e-05
-2.3312548038947455e-05,-2.964508848520345e-05
-2.612071348763943e-05,-2.315224850283724e-05
-2.2975075331346968e-05,-2.612071348763943e-05
